Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
York 111,Roskam,34.10%,178,Casten,65.90%,344,522,54.46%
York 114,Roskam,40.79%,226,Casten,59.21%,328,554,67.39%
York 118,Roskam,35.64%,103,Casten,64.36%,186,289,53.71%
York 119,Roskam,47.63%,181,Casten,52.37%,199,380,58.43%
York 121,Roskam,43.30%,281,Casten,56.70%,368,649,68.16%
York 122,Roskam,51.88%,207,Casten,48.12%,192,399,57.71%
York 123,Roskam,45.22%,175,Casten,54.78%,212,387,59.60%
York 128,Roskam,45.77%,195,Casten,54.23%,231,426,62.06%
York 130,Roskam,48.48%,191,Casten,51.52%,203,394,66.56%
York 131,Roskam,50.88%,58,Casten,49.12%,56,114,40.35%
Naperville 005,Roskam,39.03%,217,Casten,60.97%,339,556,62.35%
Naperville 007,Roskam,45.57%,216,Casten,54.43%,258,474,60.17%
Naperville 010,Roskam,41.29%,237,Casten,58.71%,337,574,70.02%
Naperville 015,Roskam,37.44%,158,Casten,62.56%,264,422,54.75%
Naperville 016,Roskam,54.79%,206,Casten,45.21%,170,376,67.55%
Naperville 019,Roskam,36.81%,141,Casten,63.19%,242,383,57.58%
Naperville 022,Roskam,38.59%,164,Casten,61.41%,261,425,63.66%
Naperville 026,Roskam,44.89%,145,Casten,55.11%,178,323,67.08%
Naperville 031,Roskam,35.57%,164,Casten,64.43%,297,461,57.35%
Naperville 061,Roskam,53.72%,260,Casten,46.28%,224,484,66.14%
Naperville 084,Roskam,48.61%,192,Casten,51.39%,203,395,70.25%
Naperville 095,Roskam,45.19%,188,Casten,54.81%,228,416,68.40%
Naperville 096,Roskam,53.45%,124,Casten,46.55%,108,232,67.44%
Lisle 001,Roskam,30.02%,124,Casten,69.98%,289,413,68.12%
Lisle 003,Roskam,50.49%,206,Casten,49.51%,202,408,61.68%
Lisle 004,Roskam,38.96%,203,Casten,61.04%,318,521,61.50%
Lisle 006,Roskam,43.39%,128,Casten,56.61%,167,295,61.83%
Lisle 007,Roskam,52.07%,226,Casten,47.93%,208,434,65.57%
Lisle 008,Roskam,31.70%,149,Casten,68.30%,321,470,56.10%
Lisle 009,Roskam,37.76%,148,Casten,62.24%,244,392,50.51%
Lisle 011,Roskam,40.38%,172,Casten,59.62%,254,426,65.11%
Lisle 014,Roskam,52.49%,158,Casten,47.51%,143,301,64.90%
Lisle 016,Roskam,44.31%,187,Casten,55.69%,235,422,65.54%
Lisle 022,Roskam,42.28%,211,Casten,57.72%,288,499,67.65%
Lisle 025,Roskam,44.00%,165,Casten,56.00%,210,375,61.65%
Lisle 031,Roskam,43.30%,226,Casten,56.70%,296,522,69.79%
Lisle 032,Roskam,32.68%,149,Casten,67.32%,307,456,57.99%
Lisle 037,Roskam,50.21%,238,Casten,49.79%,236,474,66.99%
Lisle 038,Roskam,42.86%,216,Casten,57.14%,288,504,63.91%
Lisle 040,Roskam,37.33%,165,Casten,62.67%,277,442,62.52%
Lisle 043,Roskam,51.83%,226,Casten,48.17%,210,436,70.92%
Lisle 044,Roskam,44.79%,185,Casten,55.21%,228,413,66.03%
Lisle 052,Roskam,42.28%,189,Casten,57.72%,258,447,62.48%
Lisle 055,Roskam,46.22%,159,Casten,53.78%,185,344,64.78%
Lisle 056,Roskam,36.78%,135,Casten,63.22%,232,367,64.54%
Lisle 059,Roskam,40.48%,236,Casten,59.52%,347,583,67.23%
Lisle 061,Roskam,44.44%,116,Casten,55.56%,145,261,59.78%
Lisle 068,Roskam,48.75%,117,Casten,51.25%,123,240,64.46%
Lisle 077,Roskam,38.12%,170,Casten,61.88%,276,446,64.34%
Lisle 078,Roskam,42.37%,150,Casten,57.63%,204,354,61.34%
Lisle 080,Roskam,41.04%,142,Casten,58.96%,204,346,54.74%
Lisle 081,Roskam,51.34%,230,Casten,48.66%,218,448,65.22%
